,0
return,0.047318770464320335
Trades,0.044155555529704266
%Deliverble,0.0437455103325961
vol_10,0.04317298657615702
Deliverable Volume,0.04296404004822838
rsi_14,0.04268681021663284
bb_width,0.04230941205158203
vol_20,0.042089428293496295
macd,0.041152016147500185
macd_signal,0.04054129531038471
Volume,0.039411987789353606
Turnover,0.036946699001127674
Close_lag_5,0.032567483873476515
bb_lower,0.03228955241505467
Close_lag_4,0.031383324297190006
Close_lag_3,0.0293409303189913
Close_lag_2,0.028224145292243392
bb_upper,0.028012165611362307
ema_26,0.027907771116599055
sma_20,0.02759760761175531
Low,0.02730241858287215
High,0.02593465846716212
Open,0.02583562246696755
Close,0.025612542275872622
Last,0.025580782147170147
Prev Close,0.025573402412851474
VWAP,0.0255708187218772
Close_lag_1,0.025015915116001985
ema_12,0.025009866572833456
sma_10,0.02474648093863534
