,0
return,0.04761857513602379
bb_width,0.04555526166451363
%Deliverble,0.04479577376172795
vol_10,0.0433527994846468
Trades,0.041491316645372374
rsi_14,0.04116619386431702
Deliverable Volume,0.04056678232786507
vol_20,0.03861195703901397
Volume,0.0376386552621434
Turnover,0.037440185552778504
macd_signal,0.03742159668487596
macd,0.03731108714186267
Close_lag_5,0.032817337508097684
Close_lag_4,0.03137315770492891
Close_lag_2,0.031315842809180976
Close_lag_3,0.030647761119592942
bb_lower,0.030268835906489436
bb_upper,0.028991290471895827
Prev Close,0.02791818962999504
ema_26,0.027271653878406393
Close_lag_1,0.027255924677480507
Open,0.02717717906553208
High,0.027140196613833784
sma_20,0.027063172930587045
Low,0.026953662347608494
sma_10,0.02672523764628819
Close,0.0264637891866451
VWAP,0.02628085253804938
ema_12,0.02616197719123673
Last,0.025203754209010443
