,0
return,0.049312611871845664
%Deliverble,0.043125920609089506
Trades,0.04018505645141818
rsi_14,0.039732160717997594
bb_width,0.03950375894352796
vol_10,0.03877166537624254
vol_20,0.03868196069936499
macd_signal,0.036683911053198175
Deliverable Volume,0.03653430413611042
macd,0.03594363491333729
Volume,0.03558959755426865
Turnover,0.03498534577256765
Close_lag_3,0.03431286631139847
Close_lag_4,0.03362743876831095
Close_lag_2,0.033235077118174125
bb_lower,0.03169540603521001
Close_lag_5,0.03147546865368464
bb_upper,0.03115091051545152
Low,0.03065669091738261
ema_26,0.03043317086639901
sma_20,0.028748048878974527
Close,0.028692721763287063
sma_10,0.027534327970541367
VWAP,0.02748886229695453
Last,0.027297233821649884
Open,0.02725734864365871
Prev Close,0.027120748604193487
High,0.026897717581581704
Close_lag_1,0.026751704720593163
ema_12,0.02657432843358562
