,0
%Deliverble,0.04786933899279048
return,0.04708940242904229
bb_width,0.04629581398136127
vol_10,0.04549491196315099
vol_20,0.04353233724622542
Trades,0.04352733454948193
rsi_14,0.04280239031057703
macd_signal,0.04088681740786106
Deliverable Volume,0.04029472280879395
Volume,0.04007616150004452
Turnover,0.03922650572157435
macd,0.038373523617498136
bb_lower,0.03238250004847003
Close_lag_5,0.030797574410932445
Close_lag_4,0.02941625213034733
Close_lag_3,0.029004868322556995
bb_upper,0.02863434457498891
Close_lag_2,0.028548477855320588
ema_26,0.027254887383920897
Close,0.026793446588703182
sma_20,0.02635738391779253
sma_10,0.026018557763009733
Open,0.0258888931271328
High,0.025233852947860784
VWAP,0.025186229627116995
Close_lag_1,0.025153473414621545
Prev Close,0.02494796268997691
Low,0.02454470787786827
ema_12,0.024350836136945123
Last,0.024016490654033596
