,0
return,0.05477342991862983
vol_10,0.04622995747762057
Deliverable Volume,0.04440530751828492
rsi_14,0.04430761643731611
Trades,0.04425833378421541
bb_width,0.04373317532886009
Volume,0.04357682171383678
vol_20,0.04232473776858641
%Deliverble,0.04161547909600074
macd,0.04115698476843008
macd_signal,0.040236007786829904
Turnover,0.03942492779350177
bb_lower,0.03094866729251685
Close_lag_5,0.029509795035692808
Close_lag_4,0.028848162555730056
Close_lag_2,0.028716581273569793
Close_lag_3,0.028464345796711622
bb_upper,0.027724603932205077
sma_20,0.027112958504290515
ema_26,0.026357848713380413
Last,0.02622624072939506
Close,0.025771566402836243
VWAP,0.025132272712805
Open,0.02503599352705231
sma_10,0.024634151349415916
Close_lag_1,0.024403820534345737
High,0.024286109817721016
Prev Close,0.023822396859512696
Low,0.02364728153370271
ema_12,0.023314424037003473
