,0
rsi_14,0.045006065064426365
Trades,0.04464547981064961
vol_10,0.04377128968592766
Deliverable Volume,0.043385129855686856
return,0.043226430909771074
%Deliverble,0.04225532964004932
macd,0.0420920734264437
bb_width,0.04149954678267636
Turnover,0.040584119007894666
vol_20,0.04053015942668603
Volume,0.04032719137279834
macd_signal,0.03641715289730759
Close_lag_5,0.03175690646953683
bb_upper,0.031283292763406106
Close_lag_2,0.03120903359743826
bb_lower,0.030400513597264273
Close_lag_4,0.030011774735603968
Close_lag_3,0.029712305533886218
sma_20,0.02823729791889105
Close,0.02723687590028355
ema_26,0.02639508213855272
VWAP,0.0262780106962396
ema_12,0.026164722077488947
sma_10,0.02604188389389724
High,0.025810450110620536
Close_lag_1,0.025442495682787194
Prev Close,0.025378875127356013
Open,0.02524981847287841
Low,0.025054725476881944
Last,0.02459596792666967
