,0
return,0.04994209411199124
%Deliverble,0.04742730493446452
rsi_14,0.046022202166856596
vol_10,0.0455345966691124
bb_width,0.0446163630350307
vol_20,0.04312795613702997
macd,0.04302509857923439
Trades,0.042397754931889874
macd_signal,0.04084545615155342
Deliverable Volume,0.040797690098672935
Volume,0.040039582937222803
Turnover,0.03858918824966741
bb_lower,0.03134113551531918
Close_lag_5,0.02977964887130039
Close_lag_4,0.02865240032265971
Close_lag_3,0.028044778970727036
Close_lag_2,0.02801769843830261
bb_upper,0.02789937974126449
ema_26,0.02656893780065134
sma_20,0.02638308676309857
Close,0.02601053475391203
Low,0.025689913443198275
VWAP,0.025655293923014136
Last,0.02553593281384593
Open,0.025423426492239685
High,0.025030005364651598
ema_12,0.024944916897055656
Prev Close,0.024889404729319567
Close_lag_1,0.02426799608380175
sma_10,0.023500221072911817
