,0
%Deliverble,0.04860164717374643
return,0.04823081680645501
vol_20,0.044783741538543156
vol_10,0.044489674301879646
rsi_14,0.04278058394173907
Trades,0.04242079991869006
bb_width,0.041910271553081045
Deliverable Volume,0.040674715744126975
Volume,0.040140873974298996
Turnover,0.03942992712377064
macd,0.038759433379629775
macd_signal,0.03789453752174858
Close_lag_5,0.031510053081587316
bb_lower,0.03064642795503102
Close_lag_2,0.029783689121897165
Close_lag_4,0.029344412123608013
Close_lag_3,0.029250342981529367
bb_upper,0.028552873743265362
ema_26,0.027359135744344024
Last,0.02695401828865594
Close,0.026808095618000877
Low,0.026546845418568173
sma_20,0.02626269542214321
VWAP,0.02604355609481227
Close_lag_1,0.02597869972341367
Prev Close,0.025791719255004834
Open,0.02578249694024324
High,0.02521384627020248
sma_10,0.024209613042248432
ema_12,0.02384445619773519
