,0
return,0.05460494401718753
%Deliverble,0.04639266565692056
bb_width,0.04561386358280076
Trades,0.04542237721666423
rsi_14,0.044601168696390595
vol_10,0.04439960466045337
Deliverable Volume,0.043667820762127475
vol_20,0.04324187019765963
macd_signal,0.0423439056379613
Turnover,0.04125318910961719
Volume,0.041105490044731685
macd,0.04092201605505656
bb_lower,0.029776428988760085
Close_lag_4,0.029606857412559986
Close_lag_5,0.02926575179121137
Close_lag_3,0.029161992633909728
Close_lag_2,0.02776314731011477
bb_upper,0.02699909371134826
Low,0.026080567157274057
sma_20,0.025701328656564673
Prev Close,0.024857069966989217
Close,0.02483442991109974
High,0.024599640961804753
ema_26,0.02459595146342043
Open,0.024593694455907655
Last,0.024432633655028426
VWAP,0.024124651103090144
Close_lag_1,0.023978911252973797
sma_10,0.023478956614527147
ema_12,0.02257997731584489
