,0
return,0.04852779906080781
%Deliverble,0.044880900576539144
rsi_14,0.04371961923641899
vol_10,0.04357085651473039
Trades,0.04137412100359776
bb_width,0.04095765903513608
vol_20,0.040240548708137064
Deliverable Volume,0.04007234268587675
Volume,0.0390533380603629
macd_signal,0.038178388815379306
Turnover,0.038161291850143296
macd,0.037526449263838635
Close_lag_4,0.0330621593828547
Close_lag_5,0.03165278566916268
Close_lag_2,0.03102620271796794
bb_upper,0.03064744125843315
Close_lag_3,0.03009980310336086
bb_lower,0.028751863838295113
High,0.02833306176560455
Open,0.027289547010291855
sma_20,0.02713243321056265
Prev Close,0.027044280149633095
sma_10,0.026692097754264454
ema_26,0.02666205135307229
Last,0.026327372904052033
Close,0.026236636741311353
Low,0.02583612857726393
ema_12,0.025734673221733544
VWAP,0.02567835734532866
Close_lag_1,0.02552978918583884
