,0
return,0.04812162626129224
bb_width,0.046607888056059435
vol_10,0.04527119179104987
%Deliverble,0.044598938083483315
rsi_14,0.04374224930336689
Deliverable Volume,0.04257929505077365
Trades,0.04225291229417027
vol_20,0.04213781745935489
macd,0.038985028495907625
Turnover,0.03796215012761261
macd_signal,0.037622904010718876
Volume,0.036266756619487896
Close_lag_5,0.031343154671045405
Close_lag_3,0.03048736491420628
Close_lag_4,0.030356415268627535
bb_lower,0.029210335193909524
ema_26,0.028827292415873302
bb_upper,0.028651009131368647
Close_lag_2,0.028413076524285923
Open,0.026970603073967665
sma_10,0.026672689424594238
Last,0.026505669295066082
sma_20,0.026402927746059998
Close,0.026356618185521822
ema_12,0.02608506155335787
VWAP,0.025959794362098536
High,0.02571457756648001
Low,0.02545267078679602
Prev Close,0.025254301964383642
Close_lag_1,0.02518768036908005
