,0
return,0.053636870646097165
rsi_14,0.04832798534131645
macd_signal,0.04400317269610792
%Deliverble,0.04330904916843168
macd,0.04322636032365596
vol_10,0.04253672554397429
vol_20,0.04160537401369264
bb_width,0.04108043389707719
Trades,0.04092592141187318
Deliverable Volume,0.03985376221195396
Volume,0.039715692169959564
Turnover,0.03851053821928794
Close_lag_5,0.030706184768072423
bb_lower,0.030649815661071746
Close_lag_4,0.029169116042530547
sma_20,0.028912571728212065
bb_upper,0.028536732850813276
Close_lag_3,0.02850746624506545
Close_lag_2,0.028464273930790773
ema_26,0.02678671643254322
Low,0.02608718106077944
Last,0.025665675125838797
Close,0.025513424586657358
sma_10,0.02534982622698708
ema_12,0.025141296423954834
Close_lag_1,0.02499884800543687
High,0.024943947816068988
Open,0.0247270771270573
VWAP,0.0245852442280874
Prev Close,0.024522716096604426
