,0
return,0.049397896517768956
%Deliverble,0.04616128476748494
rsi_14,0.044537269161279695
bb_width,0.04252959888464126
vol_10,0.04039095853711666
Deliverable Volume,0.040048113735041885
vol_20,0.03980382895653411
Turnover,0.03952307100788724
Trades,0.03898088537344733
Volume,0.03856409604904629
macd_signal,0.036762904020598286
macd,0.03498213038187068
Close_lag_5,0.03315335951398984
bb_lower,0.0319824854339654
Close_lag_4,0.03190441424354065
Close_lag_3,0.031167924183997688
bb_upper,0.031068481038071964
Close_lag_2,0.029308721690172602
sma_20,0.02883089640145036
ema_26,0.028419102165575857
Close,0.027329950689214767
Last,0.027269433147289877
Open,0.027095997365172035
VWAP,0.026454387801149015
sma_10,0.026339609453379462
Prev Close,0.02632511821877488
ema_12,0.025768687239780003
Close_lag_1,0.025599459137438167
High,0.025375551358037807
Low,0.0249243835262823
