,0
vol_10,0.04878919211103759
return,0.04837072992822845
%Deliverble,0.04781419372182213
Deliverable Volume,0.043436842944600776
bb_width,0.04252538418875308
vol_20,0.042199700434621255
Trades,0.04219681706249406
Volume,0.041798344997268554
macd,0.04141236896728934
macd_signal,0.041201284887498676
Turnover,0.041151869350843785
rsi_14,0.040833671265895585
Close_lag_4,0.030955306465492046
Close_lag_5,0.030809953770352335
bb_upper,0.02980327454878854
Close_lag_3,0.02941253593747716
bb_lower,0.028926020146154387
Close_lag_2,0.028759515771471664
sma_20,0.02757529401519426
ema_26,0.0271700359109574
Close,0.02616397458562185
VWAP,0.024833690064760407
Open,0.024833026922285607
Last,0.02451675120279449
ema_12,0.024421946451286095
Low,0.02439126454232354
Close_lag_1,0.024344461781057723
High,0.02404052197185464
Prev Close,0.02371830098275004
sma_10,0.023593725069024643
