,0
return,0.0464390268525465
rsi_14,0.045188824605971616
%Deliverble,0.04493555083581818
bb_width,0.04419088612729228
vol_10,0.04356229106854571
Deliverable Volume,0.04328665655382875
vol_20,0.041578622074320705
Trades,0.041479357474672025
Turnover,0.040358886569315466
Volume,0.039228572291784905
macd,0.03875234036501025
macd_signal,0.03800419753308638
Close_lag_5,0.030361296102822757
Close_lag_4,0.03035038136633983
bb_lower,0.030220534892010053
bb_upper,0.029604804747428583
ema_26,0.029526071868624576
Close_lag_2,0.02951342027168017
Close_lag_3,0.029387923616770915
sma_20,0.027128539787303108
Low,0.02688959871379356
Prev Close,0.0267158590435136
Close_lag_1,0.02660400848525107
Open,0.02645142964738684
High,0.02556606619991707
sma_10,0.025275270845597254
ema_12,0.025121375036497487
VWAP,0.025007981503094686
Close,0.024851962347890205
Last,0.024418263171885488
