,0
return,0.047916978416113115
vol_10,0.045781271651851654
%Deliverble,0.044576601936026646
Deliverable Volume,0.04391848350033617
bb_width,0.04363555747692376
Trades,0.0427641839878587
vol_20,0.042750272811537114
rsi_14,0.04175319225316753
Volume,0.04042743597753694
Turnover,0.039842366877360647
macd,0.03960899480658421
macd_signal,0.038283412497473135
Close_lag_4,0.031941081835591044
Close_lag_5,0.0305398264499931
bb_lower,0.029790288152128235
Close_lag_3,0.02973529868442576
bb_upper,0.029178625592272894
ema_26,0.02815135922837559
Close_lag_2,0.028053664431594717
sma_20,0.027027338101914877
Close,0.02663600590903001
Last,0.026426765890000804
High,0.02573459690688932
Open,0.025550063426917076
VWAP,0.025339362559676636
sma_10,0.02532043528437357
Low,0.02520148862223826
Prev Close,0.024911755571285797
ema_12,0.02484099764151895
Close_lag_1,0.024362293519003507
