ticker,baseline_mean_accuracy,fold_accuracies,advanced_rf_mean_accuracy
ADANIPORTS,0.5051344743276284,"[0.4938875305623472, 0.5427872860635696, 0.4743276283618582, 0.4963325183374083, 0.5183374083129584]",0.49486552567237163
ASIANPAINT,0.4938875305623472,"[0.5134474327628362, 0.5354523227383863, 0.4767726161369193, 0.49144254278728605, 0.45232273838630804]",0.5026894865525672
AXISBANK,0.4953545232273838,"[0.4963325183374083, 0.5036674816625917, 0.5183374083129584, 0.4792176039119804, 0.4792176039119804]",0.5061124694376529
BAJAJ-AUTO,0.4909535452322737,"[0.46454767726161367, 0.5232273838630807, 0.4938875305623472, 0.4938875305623472, 0.4792176039119804]",0.5051344743276284
BAJAJFINSV,0.5124694376528117,"[0.4938875305623472, 0.4938875305623472, 0.5501222493887531, 0.5183374083129584, 0.5061124694376528]",0.48019559902200487
BAJFINANCE,0.525672371638142,"[0.49877750611246946, 0.5427872860635696, 0.530562347188264, 0.5354523227383863, 0.5207823960880196]",0.5036674816625917
BHARTIARTL,0.5070904645476773,"[0.5012224938875306, 0.4889975550122249, 0.5134474327628362, 0.5403422982885085, 0.49144254278728605]",0.5212713936430318
BPCL,0.4938875305623471,"[0.4767726161369193, 0.4889975550122249, 0.5256723716381418, 0.5061124694376528, 0.4718826405867971]",0.5095354523227383
BRITANNIA,0.5017114914425428,"[0.46943765281173594, 0.5134474327628362, 0.5061124694376528, 0.48166259168704156, 0.5378973105134475]",0.515403422982885
CIPLA,0.5119804400977995,"[0.5036674816625917, 0.48655256723716384, 0.4841075794621027, 0.5623471882640587, 0.5232273838630807]",0.5134474327628362
COALINDIA,0.5080684596577016,"[0.4841075794621027, 0.4938875305623472, 0.5207823960880196, 0.5207823960880196, 0.5207823960880196]",0.5134474327628362
DRREDDY,0.5105134474327628,"[0.5232273838630807, 0.5378973105134475, 0.4718826405867971, 0.508557457212714, 0.511002444987775]",0.5198044009779952
EICHERMOT,0.4973105134474327,"[0.5330073349633252, 0.511002444987775, 0.5036674816625917, 0.4718826405867971, 0.4669926650366748]",0.508557457212714
GAIL,0.5036674816625918,"[0.4963325183374083, 0.530562347188264, 0.530562347188264, 0.4669926650366748, 0.4938875305623472]",0.5320293398533007
GRASIM,0.4845965770171149,"[0.48655256723716384, 0.5232273838630807, 0.4938875305623472, 0.4547677261613692, 0.46454767726161367]",0.5031784841075795
HCLTECH,0.5359413202933986,"[0.5452322738386308, 0.5232273838630807, 0.5452322738386308, 0.5501222493887531, 0.5158924205378973]",0.497799511002445
HDFC,0.4997555012224938,"[0.4963325183374083, 0.5061124694376528, 0.48655256723716384, 0.48655256723716384, 0.5232273838630807]",0.5075794621026894
HDFCBANK,0.5105134474327628,"[0.4792176039119804, 0.511002444987775, 0.5525672371638142, 0.49877750611246946, 0.511002444987775]",0.4816625916870415
HEROMOTOCO,0.4899755501222493,"[0.48655256723716384, 0.48655256723716384, 0.4963325183374083, 0.45232273838630804, 0.5281173594132029]",0.5149144254278728
HINDALCO,0.4997555012224938,"[0.5061124694376528, 0.5183374083129584, 0.4669926650366748, 0.5330073349633252, 0.4743276283618582]",0.5012224938875305
HINDUNILVR,0.502200488997555,"[0.49877750611246946, 0.4938875305623472, 0.5281173594132029, 0.5134474327628362, 0.4767726161369193]",0.5070904645476773
ICICIBANK,0.491442542787286,"[0.4963325183374083, 0.48655256723716384, 0.48166259168704156, 0.5354523227383863, 0.4572127139364303]",0.4880195599022005
INDUSINDBK,0.5056234718826407,"[0.5158924205378973, 0.5452322738386308, 0.5207823960880196, 0.4572127139364303, 0.4889975550122249]",0.4919315403422983
INFY,0.5026894865525672,"[0.4352078239608802, 0.5061124694376528, 0.4767726161369193, 0.5599022004889975, 0.5354523227383863]",0.48948655256723717
IOC,0.4850855745721271,"[0.4792176039119804, 0.4963325183374083, 0.4938875305623472, 0.49144254278728605, 0.46454767726161367]",0.5149144254278728
ITC,0.4982885085574572,"[0.5476772616136919, 0.511002444987775, 0.49144254278728605, 0.4792176039119804, 0.4621026894865526]",0.48508557457212714
JSWSTEEL,0.4699266503667482,"[0.4743276283618582, 0.5158924205378973, 0.4547677261613692, 0.4743276283618582, 0.43031784841075793]",0.4831295843520783
KOTAKBANK,0.5066014669926651,"[0.46943765281173594, 0.5012224938875306, 0.5183374083129584, 0.5378973105134475, 0.5061124694376528]",0.497799511002445
LT,0.5100244498777506,"[0.4889975550122249, 0.5330073349633252, 0.5012224938875306, 0.5158924205378973, 0.511002444987775]",0.5281173594132029
MARUTI,0.487041564792176,"[0.4963325183374083, 0.511002444987775, 0.45965770171149145, 0.4621026894865526, 0.5061124694376528]",0.4875305623471883
MM,0.508557457212714,"[0.5036674816625917, 0.5183374083129584, 0.4889975550122249, 0.5183374083129584, 0.5134474327628362]",0.511002444987775
NESTLEIND,0.4875305623471883,"[0.5134474327628362, 0.4841075794621027, 0.49144254278728605, 0.46454767726161367, 0.4841075794621027]",0.4987775061124694
NTPC,0.5114914425427873,"[0.48655256723716384, 0.4963325183374083, 0.5012224938875306, 0.530562347188264, 0.5427872860635696]",0.49144254278728605
ONGC,0.504156479217604,"[0.5183374083129584, 0.508557457212714, 0.4743276283618582, 0.5232273838630807, 0.4963325183374083]",0.5154034229828851
